"","neighbors",".metric",".estimator","mean","n","std_err",".config"
"61",25,"accuracy","binary",0.591497381042624,10,0.00669459789908526,"Preprocessor1_Model13"
"62",25,"kap","binary",0.00870995004978626,10,0.000658425817923776,"Preprocessor1_Model13"
"63",25,"roc_auc","binary",0.69398033884504,10,0.0114006932586218,"Preprocessor1_Model13"
"64",25,"sens","binary",0.590888312205648,10,0.00672301922419423,"Preprocessor1_Model13"
"65",25,"spec","binary",0.681150331060785,10,0.0128682362166436,"Preprocessor1_Model13"
"66",27,"accuracy","binary",0.589359714874174,10,0.00637290184815184,"Preprocessor1_Model14"
"67",27,"kap","binary",0.0085093782807619,10,0.000630483933285026,"Preprocessor1_Model14"
"68",27,"roc_auc","binary",0.694636236443847,10,0.0113631454646081,"Preprocessor1_Model14"
"69",27,"sens","binary",0.588755231708107,10,0.00639501293588879,"Preprocessor1_Model14"
"70",27,"spec","binary",0.678877603788058,10,0.012832781613374,"Preprocessor1_Model14"
"71",29,"accuracy","binary",0.587508938354592,10,0.00626850864569818,"Preprocessor1_Model15"
"72",29,"kap","binary",0.00836940391862462,10,0.000634475128852431,"Preprocessor1_Model15"
"73",29,"roc_auc","binary",0.69516453277163,10,0.0113555694354292,"Preprocessor1_Model15"
"74",29,"sens","binary",0.586901724314496,10,0.00628992621524101,"Preprocessor1_Model15"
"75",29,"spec","binary",0.677236189646644,10,0.0127535453438014,"Preprocessor1_Model15"
