"",".metric",".estimator",".estimate"
"1","accuracy","binary",0.694091608929946
"2","kap","binary",0.0143800256338652
"3","bal_accuracy","binary",0.639163756305782
"4","sens","binary",0.69499417927823
"5","spec","binary",0.583333333333333
