"","cost_complexity",".metric",".estimator","mean","n","std_err",".config"
"1",2.09075158128769e-07,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model01"
"2",2.09075158128769e-07,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model01"
"3",2.09075158128769e-07,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model01"
"4",2.09075158128769e-07,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model01"
"5",4.69748566771208e-07,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model02"
"6",4.69748566771208e-07,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model02"
"7",4.69748566771208e-07,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model02"
"8",4.69748566771208e-07,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model02"
"9",1.05542771297438e-06,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model03"
"10",1.05542771297438e-06,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model03"
"11",1.05542771297438e-06,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model03"
"12",1.05542771297438e-06,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model03"
"13",2.37132742090275e-06,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model04"
"14",2.37132742090275e-06,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model04"
"15",2.37132742090275e-06,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model04"
"16",2.37132742090275e-06,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model04"
"17",5.32788145317709e-06,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model05"
"18",5.32788145317709e-06,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model05"
"19",5.32788145317709e-06,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model05"
"20",5.32788145317709e-06,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model05"
"21",1.19706458622664e-05,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model06"
"22",1.19706458622664e-05,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model06"
"23",1.19706458622664e-05,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model06"
"24",1.19706458622664e-05,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model06"
"25",2.68955613256645e-05,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model07"
"26",2.68955613256645e-05,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model07"
"27",2.68955613256645e-05,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model07"
"28",2.68955613256645e-05,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model07"
"29",6.04287544169007e-05,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model08"
"30",6.04287544169007e-05,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model08"
"31",6.04287544169007e-05,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model08"
"32",6.04287544169007e-05,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model08"
"33",0.000135770892310531,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model09"
"34",0.000135770892310531,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model09"
"35",0.000135770892310531,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model09"
"36",0.000135770892310531,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model09"
"37",0.000305049067727306,"accuracy","binary",0.625018380202709,10,0.0107874326805707,"Preprocessor1_Model10"
"38",0.000305049067727306,"kap","binary",0.0114969844947544,10,0.000836112838896545,"Preprocessor1_Model10"
"39",0.000305049067727306,"sens","binary",0.624784363714721,10,0.0108921990249659,"Preprocessor1_Model10"
"40",0.000305049067727306,"spec","binary",0.652908665707963,10,0.0181817801630849,"Preprocessor1_Model10"
"41",0.000685382058979667,"accuracy","binary",0.624482224030039,10,0.0107964889674724,"Preprocessor1_Model11"
"42",0.000685382058979667,"kap","binary",0.0115324592247522,10,0.000834616982969874,"Preprocessor1_Model11"
"43",0.000685382058979667,"sens","binary",0.624230653858685,10,0.0109027043335194,"Preprocessor1_Model11"
"44",0.000685382058979667,"spec","binary",0.654908665707963,10,0.018617672328125,"Preprocessor1_Model11"
"45",0.00153991149775003,"accuracy","binary",0.621279318043741,10,0.0101196660374676,"Preprocessor1_Model12"
"46",0.00153991149775003,"kap","binary",0.0114599710804098,10,0.000770537348799843,"Preprocessor1_Model12"
"47",0.00153991149775003,"sens","binary",0.620959574271239,10,0.0102475818774829,"Preprocessor1_Model12"
"48",0.00153991149775003,"spec","binary",0.65972780408398,10,0.0198796978257343,"Preprocessor1_Model12"
"49",0.00345986211607722,"accuracy","binary",0.625046198530377,10,0.00871441475355275,"Preprocessor1_Model13"
"50",0.00345986211607722,"kap","binary",0.0124209949496756,10,0.000866455360120692,"Preprocessor1_Model13"
"51",0.00345986211607722,"sens","binary",0.624620576852985,10,0.00884060660159684,"Preprocessor1_Model13"
